"","game_date","time","home","guest","home_score","guest_score","date","hour","1","X","2","advantage","winner"
"173","2016-12-15","03:00","Houston Rockets","Sacramento Kings",132,98,"14/12/2016","17:45",1.8,9,1.8,-9,"1.0"
"174","2016-12-15","03:00","Houston Rockets","Sacramento Kings",132,98,"14/12/2016","21:50",1.8,9,1.8,-13,"1.0"
"175","2016-12-15","03:30","Dallas Mavericks","Detroit Pistons",85,95,"14/12/2016","07:30",1.8,9,1.8,4,"2"
"176","2016-12-15","03:30","Dallas Mavericks","Detroit Pistons",85,95,"14/12/2016","17:45",1.8,9,1.8,5,"2"
"177","2016-12-15","04:30","San Antonio Spurs","Boston Celtics",108,101,"14/12/2016","07:30",1.8,9,1.8,-8,"2"
"178","2016-12-15","04:30","San Antonio Spurs","Boston Celtics",108,101,"14/12/2016","18:55",1.8,9,1.8,-7,"X"
"179","2016-12-15","04:30","San Antonio Spurs","Boston Celtics",108,101,"14/12/2016","22:10",1.8,9,1.8,-6,"1.0"
"180","2016-12-15","02:00","Orlando Magic","LA Clippers",108,113,"14/12/2016","17:50",1.8,9,1.8,9,"1.0"
"181","2016-12-15","02:00","Orlando Magic","LA Clippers",108,113,"14/12/2016","22:15",1.8,9,1.8,8,"1.0"
"182","2016-12-15","02:00","Miami Heat","Indiana Pacers",95,89,"14/12/2016","07:30",1.8,9,1.8,-1,"1.0"
"183","2016-12-15","02:00","Miami Heat","Indiana Pacers",95,89,"14/12/2016","20:55",1.8,9,1.8,1,"1.0"
"184","2016-12-15","02:00","Miami Heat","Indiana Pacers",95,89,"14/12/2016","23:00",1.8,9,1.8,2,"1.0"
"185","2016-12-15","02:00","Miami Heat","Indiana Pacers",95,89,"14/12/2016","23:30",1.8,9,1.8,1,"1.0"
"186","2016-12-15","02:30","Brooklyn Nets","Los Angeles Lakers",107,97,"14/12/2016","07:30",1.8,9,1.8,-1,"1.0"
"187","2016-12-15","03:00","Memphis Grizzlies","Cleveland Cavaliers",93,85,"14/12/2016","17:50",1.8,9,1.8,-6,"1.0"
"188","2016-12-15","03:00","Memphis Grizzlies","Cleveland Cavaliers",93,85,"14/12/2016","18:40",1.8,9,1.8,-7,"1.0"
"189","2016-12-15","03:00","Memphis Grizzlies","Cleveland Cavaliers",93,85,"14/12/2016","21:20",1.8,9,1.8,-8,"X"
"190","2016-12-15","03:00","Memphis Grizzlies","Cleveland Cavaliers",93,85,"14/12/2016","22:10",1.8,9,1.8,-7,"1.0"
"191","2016-12-15","04:00","Utah Jazz","Oklahoma City Thunder",109,89,"14/12/2016","17:50",1.8,9,1.8,-6,"1.0"
"192","2016-12-15","04:00","Utah Jazz","Oklahoma City Thunder",109,89,"14/12/2016","18:50",1.8,9,1.8,-7,"1.0"
